Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population,crimes.total_lag1,crimes.total_lag2,crimes.total_growth
1950-01-01,-1.741568397849885,-1.797284784526881,-1.1314580626164197,-1.0536243799027238,-1.1373289883211464,-0.739332945363093,-0.7917852186922566,-1.930388386988218,-2.086553390422667,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2821934077639712,-1.3297212893749533,-1.3443083816234922,-1.272780697682964,-1.3013285324505124,-2.6844358941083657,-1.8637111883039448,0.0,0.0,0.0
1951-01-01,-1.622287099910945,-1.6712618278508449,-1.114381403084591,-1.0536243799027238,-1.1230277331214902,-0.6346654756205702,-0.7391590108033455,-1.7755732376638018,-1.982852539391807,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2821934077639712,-1.0722586974447386,-1.3426435722042864,-1.1983493268040184,-1.3013285324505124,-2.4262551060756565,-1.7809013185299247,-1.741568397849885,0.0,-0.06849073403387596
1952-01-01,-1.6518688617998023,-1.7123318092675888,-1.134873394522785,-1.0536243799027238,-1.1409043021210603,-0.7602664393115977,-0.844411426581168,-1.801134617458799,-1.9166605068189175,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2821934077639712,-1.3093282127864214,-1.3276602874314347,-1.1660489205735327,-1.3013285324505124,-2.2440098439349208,-1.707916348559602,-1.622287099910945,-1.741568397849885,0.01823460341297234
1953-01-01,-1.7117480733651502,-1.6895464086185734,-1.134873394522785,-1.0536243799027238,-1.1373289883211464,-0.6346654756205702,-0.7917852186922566,-1.7611045321194638,-1.9409309187623105,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2537385439736477,-1.3297212893749533,-1.3176714309162003,-1.633702628171436,-1.3013285324505124,-2.04657747661579,-1.643352721278163,-1.6518688617998023,-1.622287099910945,0.03624937363375569
1954-01-01,-1.6833591244556825,-1.6608536818753687,-1.110966071178226,-1.0536243799027238,-1.1301783607213185,-0.7183994514145885,-0.7917852186922566,-1.736025442509278,-1.8703260840178952,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2537385439736477,-1.2608946558886582,-1.2960289084665255,-1.609828414870642,-1.3013285324505124,-1.8643322144750536,-1.584403322455979,-1.7117480733651502,-1.6518688617998023,-0.01658477047598339
1955-01-01,-1.60487203041186,-1.573650296675433,-1.0802280840209355,-1.0536243799027238,-1.0908499089222636,-0.6555989695690748,-0.7917852186922566,-1.6043602220558026,-1.724703612357539,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.2537385439736477,-1.2608946558886582,-1.2793808142744685,-1.5845498360815662,-1.3013285324505124,-1.5302159005503713,-1.515629023830098,-1.6833591244556825,-1.7117480733651502,-0.04662528209433703
1956-01-01,-1.5736203303518577,-1.5415819550212635,-1.0870587478336666,-1.0536243799027238,-1.0980005365220915,-0.7811999332601022,-0.7917852186922566,-1.5517905919113746,-1.7004332004141465,0.0085825119851382,-0.2320567501558526,0.0357717635142553,0.3103173880742705,-1.1968288163930003,-1.2659929250357913,-1.2427550070519422,-1.5592712572924905,-1.3013285324505124,-0.998667219306558,-1.4412404967449617,-1.60487203041186,-1.6833591244556825,-0.019473016831119017
1957-01-01,-1.505391427930784,-1.4557850760342304,-1.0870587478336666,-1.0536243799027238,-1.0980005365220915,-0.8230669211571113,-0.7917852186922566,-1.4206076616427104,-1.4577290809802192,0.0085825119851382,-1.187232276603814,0.0357717635142553,0.3103173880742705,-1.1968288163930003,-1.2150102335644617,-1.206129199829416,-1.5845498360815662,-1.3013285324505124,-0.9531059037713742,-1.3724661981190809,-1.5736203303518577,-1.60487203041186,-0.043357918746396606
1958-01-01,-1.436208275126199,-1.379552439294932,-1.1075507392718602,-1.0536243799027238,-1.108726477921834,-0.739332945363093,-0.7391590108033455,-1.3024465663639504,-1.140007324630351,0.0085825119851382,-1.0005887829300746,0.0357717635142553,0.3103173880742705,-1.1968288163930003,-1.2150102335644617,-1.186151486798947,-1.5592712572924905,-1.2979432625304568,-0.9075445882361902,-1.3093061279524552,-1.505391427930784,-1.5736203303518577,-0.045956919589797196
1959-01-01,-1.4436037155984134,-1.395867911364597,-1.114381403084591,-1.0536243799027238,-1.119452419321576,-0.5927984877235611,-0.7391590108033455,-1.3444058124425304,-1.1598649344022178,0.0085825119851382,-1.2256588782425253,0.0357717635142553,0.3103173880742705,-1.1968288163930003,-1.222657637285161,-1.1661737737684783,-1.522757754597159,-1.2979432625304568,-0.6797380105602703,-1.257374514704341,-1.436208275126199,-1.505391427930784,0.005149281340524503
1960-01-01,-1.4557704079881852,-1.4068386598252345,-1.0938894116463975,-1.0536243799027238,-1.0980005365220915,-0.4462640300840291,-0.6865328029144341,-1.3752723842704515,-1.0760216931432247,0.0085825119851382,-1.19272179112363,0.0357717635142553,0.3103173880742705,-1.1968288163930003,-1.1767732149609644,-1.1711682020260956,-1.5382057749682605,-1.294557992610401,-0.8467961675226116,-1.2096535728006683,-1.4436037155984134,-1.436208275126199,0.008428000190293439
1961-01-01,-1.4257115209075724,-1.391929693968471,-1.0938894116463975,-1.0536243799027238,-1.0980005365220915,-0.4671975240325336,-0.6865328029144341,-1.3482641339210206,-1.0804344953147509,0.0085825119851382,-1.0005887829300746,0.0357717635142553,0.3103173880742705,-1.168373952602677,-1.2099119644173286,-1.134542394803569,-1.4314739978588291,-0.1164840604310084,-0.7404864312738489,-1.1535112882081129,-1.4557704079881852,-1.4436037155984134,-0.020648095960511426
1962-01-01,-1.3887343185465009,-1.3531101224923707,-1.100720075459129,-1.0536243799027238,-1.101575850322006,-0.550931499826552,-0.6865328029144341,-1.289424731374046,-0.9281928203971056,0.0085825119851382,-0.8029662602167033,0.0357717635142553,0.3103173880742705,-1.168373952602677,-1.2252067718587276,-1.1228887288691292,-1.4075997845580352,-0.1164840604310084,-0.8771703778794009,-1.094561889385929,-1.4257115209075724,-1.4557704079881852,-0.0259359637758505
1963-01-01,-1.3403061115832913,-1.3033198025556334,-1.0904740797400323,-1.0536243799027238,-1.0908499089222636,-0.550931499826552,-0.6865328029144341,-1.212740591989055,-0.8178727661089569,0.0085825119851382,-0.7261130569392811,0.0357717635142553,0.3103173880742705,-1.1399190888123536,-1.1742240803873978,-1.1262183477075407,-1.3851299367455234,-0.1164840604310084,-0.9075445882361902,-1.0356124905637452,-1.3887343185465009,-1.4257115209075724,-0.034872189962077305
1964-01-01,-1.2608647671559574,-1.2107716937466697,-1.0733974202082044,-1.0536243799027238,-1.0693980261227791,-0.5090645119295428,-0.6339065950255227,-1.082039951905202,-0.6479798825052079,0.0085825119851382,-0.5998542229835161,0.0357717635142553,0.3103173880742705,-1.11146422502203,-1.1130448506218025,-1.06795001803534,-1.3612557234447296,-0.1164840604310084,-0.4974927484195343,-0.955609735019353,-1.3403061115832913,-1.3887343185465009,-0.05927104542818995
1965-01-01,-1.021825046086322,-1.0141421251829443,-0.9709374630172364,1.7279439830404673,-0.9728645535250996,-0.5090645119295428,-0.6339065950255227,-0.9098623559275802,-0.4383717793577253,-2.634831179437443,-0.3528260695918018,-1.2734989240299974,-2.6417260905982447,-1.0260996336510595,-0.7638134140431938,-0.9697262623022016,-0.944159173424978,-1.2674758332499552,-0.193750644851641,-0.8531500656379385,-1.2608647671559574,-1.3403061115832913,-0.18958394849022564
1966-01-01,-0.9593216459663172,-0.9654770102165288,-0.9128768206090212,1.7279439830404673,-0.9192348465263888,-0.5718649937750565,-0.6339065950255227,-0.8896061681655071,-0.462642191301118,-2.493219731682662,-0.6108332520231478,-1.4753337561869206,-2.366690983889625,-0.9691899060704126,-0.5139982258336784,-0.986374356494259,-0.8191706449678807,-1.257320023489788,-0.1178151189596676,-0.7492868391417101,-1.021825046086322,-1.2608647671559574,-0.06116839703567478
1967-01-01,-0.8739162366420361,-0.8833370473830411,-0.8958001610771934,0.3371598015688717,-0.8942076499269904,-0.550931499826552,-0.6339065950255227,-0.7917012606488202,-0.3412901315841545,-2.4224140078052714,-0.4241897583494082,-1.4806451991384186,-2.1466628985227296,-0.997644769860736,-0.4655646689359151,-0.941424502175704,-0.7250781572529873,-1.1286797665276704,0.0492430380026736,-0.6650734122528763,-0.9593216459663172,-1.021825046086322,-0.08902687610916238
1968-01-01,-0.6961871027130158,-0.690083093730281,-0.7626022167289352,-1.0536243799027238,-0.7547704117303422,-0.5927984877235611,-0.6339065950255227,-0.6465319150206292,-0.0191555730627603,-2.28080256005049,-0.3583155841116177,-1.5098581353716576,-1.6149283588860657,-0.9407350422800892,0.1793663781764053,-0.8581840312154173,-0.6450293244209138,-0.959416270524884,-0.375995906992377,-0.600509784971437,-0.8739162366420361,-0.9593216459663172,-0.2033709026987901
1969-01-01,-0.5757129917946865,-0.7480311497018509,-0.7182029019461826,-1.0536243799027238,-0.7154419599312875,-0.6974659574660839,-0.6339065950255227,-0.6937963531321333,-0.2420020827248207,-2.23359874413223,-0.4241897583494082,-1.6532670950621031,-1.834956444252961,-0.9122801784897656,-0.1265297706515727,-0.8382063181849485,0.3534745377475826,0.5673404634202482,0.0796172483594629,-0.5247177007714865,-0.6961871027130158,-0.8739162366420361,-0.17304846706990984
1970-01-01,-0.4597715701980369,-0.4762941493691489,-0.6977109105079891,-1.0536243799027238,-0.6975653909317172,-0.7183994514145885,-0.5812803871366115,-0.3407599378502868,0.2147229420281148,-1.7379586769904956,-0.3253784969927225,-1.334580517972224,-1.63326403266664,-0.8269155871187951,0.4062393552238225,-0.7632898943206904,-0.3206208966277735,-0.6378156281195901,-0.2089377500300356,-0.4194509171604441,-0.5757129917946865,-0.6961871027130158,-0.20138753727829228
1971-01-01,-0.300650318747491,-0.3103264162466911,-0.7284488976652794,-1.0536243799027238,-0.7333185289308577,-0.7811999332601022,-0.6339065950255227,0.0195108302037284,0.9207712894722664,-0.6522709108705069,-0.0234551984028496,-0.8804521456191468,-1.6393759239268315,-0.770005859538148,-0.0118187148410809,-0.7000271363908724,-0.2124847540300601,-0.5464133402780855,0.0796172483594629,-0.3422552758456798,-0.4597715701980369,-0.5757129917946865,-0.3460876264750511
